race_id,driver_id,qualifying_position,q1_seconds,q2_seconds,q3_seconds,best_qualifying_seconds,reached_q2,reached_q3,qualifying_gap_to_pole_seconds
2026_04,antonelli,1,88.65299999999999,88.289,87.798,87.798,1,1,0.0
2026_04,max_verstappen,2,89.099,88.116,87.964,87.964,1,1,0.16599999999999682
2026_04,leclerc,3,88.938,88.315,88.143,88.143,1,1,0.34499999999999886
2026_04,norris,4,89.18299999999999,88.92,88.18299999999999,88.18299999999999,1,1,0.3849999999999909
2026_04,russell,5,89.492,88.477,88.197,88.197,1,1,0.3990000000000009
2026_04,hamilton,6,89.483,88.477,88.319,88.319,1,1,0.5210000000000008
2026_04,piastri,7,89.92,88.332,88.5,88.332,1,1,0.5339999999999918
2026_04,colapinto,8,89.584,88.975,88.762,88.762,1,1,0.9639999999999986
2026_04,hadjar,9,89.324,88.941,88.789,88.789,1,1,0.9909999999999997
2026_04,gasly,10,89.914,89.07,88.81,88.81,1,1,1.0120000000000005
2026_04,hulkenberg,11,89.645,89.439,,89.439,1,0,1.6409999999999911
2026_04,lawson,12,89.595,89.499,,89.499,1,0,1.7009999999999934
2026_04,bearman,13,89.34,89.56700000000001,,89.34,1,0,1.5420000000000016
2026_04,sainz,14,89.53999999999999,89.568,,89.53999999999999,1,0,1.7419999999999902
2026_04,ocon,15,89.838,89.77199999999999,,89.77199999999999,1,0,1.9739999999999895
2026_04,albon,16,89.72,89.946,,89.72,1,0,1.921999999999997
2026_04,arvid_lindblad,17,90.133,,,90.133,0,0,2.3349999999999937
2026_04,alonso,18,91.098,,,91.098,0,0,3.299999999999997
2026_04,stroll,19,91.164,,,91.164,0,0,3.3659999999999997
2026_04,bottas,20,91.629,,,91.629,0,0,3.831000000000003
2026_04,perez,21,91.967,,,91.967,0,0,4.168999999999997
2026_04,bortoleto,22,93.737,,,93.737,0,0,5.938999999999993
